2025-01-13 10:09:00,039 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 10:09:00,039 | perf_monitor.time | DEBUG | Ended timing collection for inference/model1.decode_1, elapsed: 0.013536s
2025-01-13 10:09:00,039 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: inference, Tag: model1.decode_1
2025-01-13 10:09:00,039 | perf_monitor.precision | WARNING | [precision] No active monitoring block to end of None
2025-01-13 10:09:00,039 | perf_monitor.manager | DEBUG | Starting monitoring for inference/model2.forward, time enabled: True, precision enabled: True
2025-01-13 10:09:00,039 | perf_monitor.time | DEBUG | Started timing collection for inference/model2.forward_1
2025-01-13 10:09:00,039 | perf_monitor.time | DEBUG | Started monitoring block - Stage: inference, Tag: model2.forward_1
2025-01-13 10:09:00,039 | perf_monitor.manager | DEBUG | Started timing collection for stage: inference, tag: model2.forward
2025-01-13 10:09:00,045 | perf_monitor.precision | DEBUG | Started precision collection for inference/model2.forward_1
2025-01-13 10:09:00,045 | perf_monitor.precision | DEBUG | Started monitoring block - Stage: inference, Tag: model2.forward_1
2025-01-13 10:09:00,045 | perf_monitor.manager | DEBUG | Started precision collection for stage: inference, tag: model2.forward
2025-01-13 10:09:00,102 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 10:09:00,102 | perf_monitor.time | DEBUG | Ended timing collection for inference/model2.forward_1, elapsed: 0.063327s
2025-01-13 10:09:00,102 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: inference, Tag: model2.forward_1
2025-01-13 10:09:00,103 | perf_monitor.precision | DEBUG | Ended precision collection for inference/model2.forward_1
2025-01-13 10:09:00,103 | perf_monitor.precision | DEBUG | [precision] Ended monitoring block - Stage: inference, Tag: model2.forward_1
2025-01-13 10:09:00,103 | perf_monitor.manager | DEBUG | Starting monitoring for inference/model2.decode, time enabled: True, precision enabled: True
2025-01-13 10:09:00,103 | perf_monitor.time | DEBUG | Started timing collection for inference/model2.decode_1
2025-01-13 10:09:00,103 | perf_monitor.time | DEBUG | Started monitoring block - Stage: inference, Tag: model2.decode_1
2025-01-13 10:09:00,103 | perf_monitor.manager | DEBUG | Started timing collection for stage: inference, tag: model2.decode
2025-01-13 10:09:00,109 | perf_monitor.precision | DEBUG | Started precision collection for inference/model2.decode_1
2025-01-13 10:09:00,109 | perf_monitor.precision | DEBUG | Started monitoring block - Stage: inference, Tag: model2.decode_1
2025-01-13 10:09:00,109 | perf_monitor.manager | DEBUG | Started precision collection for stage: inference, tag: model2.decode
2025-01-13 10:09:00,109 | perf_monitor.manager | DEBUG | Starting monitoring for postprocessing/decode, time enabled: True, precision enabled: False
2025-01-13 10:09:00,109 | perf_monitor.time | DEBUG | Started timing collection for postprocessing/decode_2
2025-01-13 10:09:00,110 | perf_monitor.time | DEBUG | Started monitoring block - Stage: postprocessing, Tag: decode_2
2025-01-13 10:09:00,110 | perf_monitor.manager | DEBUG | Started timing collection for stage: postprocessing, tag: decode
2025-01-13 10:09:00,116 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 10:09:00,116 | perf_monitor.time | DEBUG | Ended timing collection for postprocessing/decode_2, elapsed: 0.006636s
2025-01-13 10:09:00,116 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: postprocessing, Tag: decode_2
2025-01-13 10:09:00,116 | perf_monitor.precision | DEBUG | Ended precision collection for inference/model2.decode_1
2025-01-13 10:09:00,116 | perf_monitor.precision | DEBUG | [precision] Ended monitoring block - Stage: inference, Tag: model2.decode_1
2025-01-13 10:09:00,116 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
